CLUSTER_ID,MATCH_ID,RECORD_ID,PIVOT,MATCH_COUNT,LAST_NAME,MIDDLE_INITIAL,FIRST_NAME,COMPLETE_ADDRESS,SEX,BIRTHDATE,MOBILE_NUMBER,EMAIL,TIN,STEWARD,APPROVAL,APPROVAL_COUNT,DATE_APPROVED,TIME_TAKEN,APPROVER,SECOND_APPROVAL_DATE
123145,123145,123145,PIVOT,4,CARMINE,D,PEPPER,SOMEWHERE DOWN THE ROAD OVER THERE OVER THERE OVER 1123,F,12/11/1947,,p.carmine@gmail.com,12312313123,,,,,,,
123145,123145,123147,,4,CARMINE,D,PEPPER,SOMEWHERE DOWN THE ROAD OVER THERE OVER THERE OVER 1123,F,12/11/1947,,pepper.carmine@gmail.com,,,,,,,,
123145,123145,123149,,4,CARMINE,,PEPPER,SOMEWHERE DOWN THE ROAD OVER THERE OVER THERE OVER 1123,F,12/11/1947,,pepper.carmine@gmail.com,12312313123,,,,,,,
123145,123145,123151,,4,CARMINE,D,PEPPER,SOMEWHERE DOWN THE ROAD OVER THERE OVER THERE OVER 1123,M,12/11/1947,,p.carmine@gmail.com,12312313123,,,,,,,
123145,123145,123153,,4,CARMINA,D,PEPPER,SOMEWHERE DOWN THE ROAD OVER THERE OVER THERE OVER 1123,F,12/11/1947,,p.carmine@gmail.com,12312313123,,,,,,,
123155,123155,123155,PIVOT,3,FIRE,C,SAM,ADDRESS SOMEWHERE 123,M,2/3/1985,,sam.fire@yahoo.com,123123,,,,,,,
123155,123155,123157,,3,FIRE,C,SAM,ADDRESS SOMEWHERE 123,M,2/3/1985,,sam.fire@yahoo.com,123123,,,,,,,
123155,123155,123159,,3,FIRE,C,SAM,ADDRESS SOMEWHERE 123,M,2/3/1985,,sam.fire@yahoo.com,123123,,,,,,,
123155,123155,123161,,3,FIRE,C,SAMIR,ADDRESS SOMEWHERE 123,M,2/3/1985,,sam.fire@yahoo.com,123123,,,,,,,
123163,123163,123163,PIVOT,2,ICE,F,GAD,NORTH POLE,M,4/6/1967,,test1@yc.com,,,,,,,,
123163,123163,123165,,2,ICE,F,GAD,NORTH POLE,M,4/6/1967,,test1@yc.com,4343,,,,,,,
123163,123163,123167,,2,ICE,F,GAD,NORTH POLE,M,4/6/1967,,test1@yc.com,,,,,,,,
123169,123169,123169,PIVOT,1,WATER,G,RAY,"RIVERSIDE, MANDALUYONG",F,1/4/1992,,test2@y8.com,,,,,,,,
123169,123169,123171,,1,WATER,GUHIT,RAY,"RIVERSIDE, MANDALUYONG",F,1/4/1992,,test3@y8.com,43435,,,,,,,
123169,123171,123173,PIVOT,1,EARTH,H,HOUSE,"KANTO, PAGLIKO",M,8/5/1948,,test4@y8.com,,,,,,,,
123169,123171,123175,,1,EARH,H,HOUSE,"KANTO, PAGLIKO",M,8/5/1948,,test4@y8.com,,,,,,,,
123177,123177,123177,PIVOT,1,WIND,H,GUT,SA ILALIM NG BUWAN,F,2/2/1937,,test2@y8.com,42345,,,,,,,
123177,123177,123179,,1,WIND,H,GUT,SA ILALIM NG BUWAN,F,2/2/1937,,test3@y8.com,,,,,,,,
123181,123181,123181,PIVOT,1,MUD,W,TOY,SA GRIYEGO,F,8/5/1948,,some.name@email.com,66666,,,,,,,
123181,123181,123183,,1,MUD,W,TOY,SA GRIYEGO,F,8/5/1948,,some.name@email.com,,,,,,,,
123185,123185,123185,PIVOT,3,LEAD,Q,ALEX,OVER THERE,M,2/2/1937,,alex.lead@email.com,,,,,,,,
123185,123185,123187,,3,LEAD,Q,ALEX,OVER THERE SOMEWHERE,M,2/2/1937,,alexqlead@email.com,777754,,,,,,,
123185,123185,123189,SIBLING,3,STONE,S,ALLEX,NOT HERE,M,2/2/1937,,allexlead@email.com,,,,,,,,
123185,123189,123191,,3,STONE,S,ALEX,NOT HERE,M,2/2/1937,,alex.lead@email.com,,,,,,,,
,,123457,,0,STONE,S,ALEX,NOT HERE,M,2/2/1937,,alex.lead@email.com,,,,,,,,
,,123456,,0,STONE,S,ALEX,NOT HERE,M,2/2/1937,,alex.lead@email.com,,,,,,,,
