CLUSTER_ID,MATCH_ID,RECORD_ID,PIVOT_MARK,MATCH_COUNT,LAST_NAME,MIDDLE_INITIAL,FIRST_NAME,COMPLETE_ADDRESS,SEX,BIRTHDATE,MOBILE_NUMBER,EMAIL,TIN,STEWARD,APPROVAL,REMARKS,DATE_APPROVED,TIME_TAKEN,APPROVER,SECOND_APPROVAL_DATE
123145,123145,123145,PIVOT,4,CARMINE,D,PEPPER,SOMEWHERE DOWN THE ROAD OVER THERE OVER THERE OVER 1123,F,12/11/1947,,p.carmine@gmail.com,12312313123,,,,,,,
123145,123145,123147,,4,CARMINE,D,PEPPER,SOMEWHERE DOWN THE ROAD OVER THERE OVER THERE OVER 1123,F,12/11/1947,,pepper.carmine@gmail.com,,,,,,,,
123185,123185,123185,PIVOT,3,LEAD,Q,ALEX,OVER THERE,M,2/2/1937,,alex.lead@email.com,,,,,,,,
123185,123185,123187,,3,LEAD,Q,ALEX,OVER THERE SOMEWHERE,M,2/2/1937,,alexqlead@email.com,777754,,,,,,,
123185,123185,123189,SIBLING,3,STONE,S,ALLEX,NOT HERE,M,2/2/1937,,allexlead@email.com,,,,,,,,
123185,123189,123191,,3,STONE,S,ALEX,NOT HERE,M,2/2/1937,,alex.lead@email.com,,,,,,,,
123185,123189,123143,,3,STONE,S,ALEX,NOT HERE,M,2/2/1936,,alex.lead@email.com,,,,,,,,
123989,123989,123989,,1,DUNPHY,M,PHIL,CALIFORNIA,M,10/6/1947,,phildunphy@emil.com,,,,Should PIVOT,,,,
123989,123989,123999,,1,DUNPHY,M,PHIL,CALIFORNIA,M,10/6/1947,,phildunphy@emil.com,,,,,,,,
,,123111,,0,DUNPHY,M,Shane,CALIFORNIA,M,1/1/1991,,shanedunphy@asdf.com,,,,,,,,
123989,123989,123400,,1,DUNPHY,M,PHIL,CALIFORNIA,M,10/6/1947,,phildunphy@emil.com,,,,Should SIBLING,,,,
123989,123400,123401,,1,DUNPHY,M,PHIL,CALIFORNIA,M,10/6/1947,,phildunphy@emil.com,,,,,,,,
111403,111403,111404,,1,WALDO,S,WHERE,BIRINGAN,M,10/6/1947,,WHERESWALDO@EMAIL.COM,,,,Should Orphan,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,check matchid != cluster. ,,,,
,,,,,,,,,,,,,,,,get matchid == recordid,,,,
,,,,,,,,,,,,,,,,write sibling on matchid ==recordid,,,,
